"REF_DATE","GEO","DGUID","Products","Pipeline","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-10","Canada","2016A000011124","Propane, butane, and other products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705280","1.2.7.1","1865159","","","","0"
"2019-11","Canada","2016A000011124","Propane, butane, and other products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705280","1.2.7.1","1944922","","","","0"
"2019-12","Canada","2016A000011124","Propane, butane, and other products","Opening inventory","Cubic metres","Cubic metres","72","units","0","v107705280","1.2.7.1","1920605","","","","0"
"2019-08","Canada","2016A000011124","Propane, butane, and other products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705282","1.2.8.1","1804030","","","","0"
"2019-09","Canada","2016A000011124","Propane, butane, and other products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705282","1.2.8.1","1865159","","","","0"
"2019-10","Canada","2016A000011124","Propane, butane, and other products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705282","1.2.8.1","1944922","","","","0"
"2019-11","Canada","2016A000011124","Propane, butane, and other products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705282","1.2.8.1","1920605","","","","0"
"2019-12","Canada","2016A000011124","Propane, butane, and other products","Closing inventory","Cubic metres","Cubic metres","72","units","0","v107705282","1.2.8.1","1815246","","","","0"


